,Country Name,Region,GDP per capita,Population,CO2 emission,Area,Density,CO2 per capita
182,St. Martin (French part),Latin America & Caribbean,13445.593416057374,31949.0,165114.1163365853,54.4,587.2977941176471,5.168052719540058
163,San Marino,Europe & Central Asia,47908.56141,33203.0,165114.1163365853,60.0,553.3833333333333,4.972867401637964
130,Monaco,Europe & Central Asia,13445.593416057374,38499.0,165114.1163365853,2.0,19249.5,4.28878974354101
145,Northern Mariana Islands,East Asia & Pacific,22572.37882,55023.0,165114.1163365853,460.0,119.61521739130434,3.0008199541389113
3,American Samoa,East Asia & Pacific,11834.74523,55599.0,165114.1163365853,200.0,277.995,2.969731763819229
93,Isle of Man,Europe & Central Asia,13445.593416057374,83737.0,165114.1163365853,570.0,146.90701754385964,1.9718179100825837
212,Virgin Islands (U.S.),Latin America & Caribbean,13445.593416057374,102951.0,165114.1163365853,350.0,294.1457142857143,1.6038126520051803
78,Guam,East Asia & Pacific,35562.56753,162896.0,165114.1163365853,540.0,301.6592592592593,1.0136167636810316
39,Channel Islands,Europe & Central Asia,13445.593416057374,164541.0,165114.1163365853,190.0,866.0052631578948,1.0034831217543672
104,Kosovo,Europe & Central Asia,3661.429847,1816200.0,165114.1163365853,10887.0,166.82281620281069,0.09091185791024409
157,Puerto Rico,Latin America & Caribbean,30790.10479,3411307.0,165114.1163365853,8870.0,384.589289740699,0.04840201023730357
158,Qatar,Middle East & North Africa,59324.33877,2569804.0,107853.804,11610.0,221.34401378122308,0.04196966149947622
50,Curacao,Latin America & Caribbean,13445.593416057374,159999.0,5881.868,444.0,360.3581081081081,0.036761904761904766
213,West Bank and Gaza,Middle East & North Africa,2943.404534,4551566.0,165114.1163365853,6020.0,756.0740863787375,0.03627633134103412
196,Trinidad and Tobago,Latin America & Caribbean,16040.52424,1364962.0,46273.873,5130.0,266.07446393762183,0.033901217030217694
105,Kuwait,Middle East & North Africa,27359.23033,4052584.0,95408.006,17820.0,227.41773288439956,0.02354251164195486
204,United Arab Emirates,Middle East & North Africa,37622.20746,9269612.0,211369.547,83600.0,110.88052631578947,0.022802415786119204
14,Bahrain,Middle East & North Africa,22579.09342,1425171.0,31338.182,771.0,1848.4708171206225,0.021989067978509247
28,Brunei Darussalam,East Asia & Pacific,26939.41751,423196.0,9108.828,5770.0,73.34419410745234,0.021523899091673834
165,Saudi Arabia,Middle East & North Africa,20028.64821,32275687.0,601046.969,2149690.0,15.014112267350177,0.018622282741805
171,Sint Maarten (Dutch part),Latin America & Caribbean,13445.593416057374,40005.0,733.4,34.0,1176.6176470588234,0.01833270841144857
115,Luxembourg,Europe & Central Asia,100738.6842,582972.0,9658.878,2590.0,225.0857142857143,0.016568339474280068
206,United States,North America,57638.15909,323127513.0,5254279.285,9831510.0,32.86651928340611,0.016260699177912466
140,New Caledonia,East Asia & Pacific,13445.593416057374,278000.0,4290.39,18580.0,14.96232508073197,0.015433057553956835
74,Gibraltar,Europe & Central Asia,13445.593416057374,34408.0,528.048,10.0,3440.8,0.015346663566612415
10,Australia,East Asia & Pacific,49755.31548,24127159.0,361261.839,7741220.0,3.1167127403690893,0.014973244011033374
62,Estonia,Europe & Central Asia,17736.8027,1316481.0,19519.441,45230.0,29.10636745522883,0.01482698269097693
35,Canada,North America,42183.2951,36286425.0,537193.498,9984670.0,3.6342137496782567,0.014804255255236634
99,Kazakhstan,Europe & Central Asia,7714.693568,17797032.0,248314.572,2724902.0,6.531255802960987,0.01395258332962485
